timestamp,ros_time,datetime,latitude,longitude,altitude,status,service
1757405630.6914942,1757405630.691114,2025-09-09 08:13:50.691494,29.746783077666667,106.553037672,238.93400000000003,2,1
1757405630.792189,1757405630.7916954,2025-09-09 08:13:50.792189,29.746781876333333,106.5530313395,238.91700000000003,2,1
1757405630.883266,1757405630.8830004,2025-09-09 08:13:50.883266,29.746780647166666,106.5530249875,238.887,2,1
1757405630.9853895,1757405630.9848666,2025-09-09 08:13:50.985389,29.746779414666666,106.55301861583334,238.856,2,1
1757405631.0880563,1757405631.087663,2025-09-09 08:13:51.088056,29.74677820433333,106.5530122305,238.82600000000002,2,1
1757405631.1865716,1757405631.186286,2025-09-09 08:13:51.186572,29.746777001166667,106.553005821,238.79500000000002,2,1
1757405631.287339,1757405631.2870054,2025-09-09 08:13:51.287339,29.74677577616667,106.55299941,238.76500000000004,2,1
1757405631.3895898,1757405631.3890631,2025-09-09 08:13:51.389590,29.746774548333335,106.5529929785,238.735,2,1
1757405631.4902496,1757405631.4898443,2025-09-09 08:13:51.490250,29.746773340333334,106.5529865155,238.699,2,1
1757405631.5904932,1757405631.5902438,2025-09-09 08:13:51.590493,29.746772133666667,106.552980032,238.663,2,1
1757405631.691581,1757405631.6911755,2025-09-09 08:13:51.691581,29.746770934333334,106.552973492,238.637,2,1
1757405631.7923634,1757405631.7917495,2025-09-09 08:13:51.792363,29.746769736333334,106.55296693433333,238.61200000000002,2,1
1757405631.8834677,1757405631.8831737,2025-09-09 08:13:51.883468,29.746768494,106.55296037916666,238.586,2,1
1757405631.985037,1757405631.9847877,2025-09-09 08:13:51.985037,29.7467672445,106.552953809,238.56100000000004,2,1
1757405632.0856504,1757405632.08533,2025-09-09 08:13:52.085650,29.746766033166665,106.5529472455,238.52800000000002,2,1
1757405632.1865559,1757405632.1862578,2025-09-09 08:13:52.186556,29.746764823666666,106.5529406675,238.49600000000004,2,1
1757405632.2873542,1757405632.286956,2025-09-09 08:13:52.287354,29.746763599,106.55293408783334,238.464,2,1
1757405632.3879442,1757405632.3875244,2025-09-09 08:13:52.387944,29.746762365833334,106.55292748883333,238.433,2,1
1757405632.4903715,1757405632.4899302,2025-09-09 08:13:52.490371,29.746761140333334,106.552920883,238.392,2,1
1757405632.5905106,1757405632.5902014,2025-09-09 08:13:52.590511,29.74675992,106.5529142635,238.35000000000002,2,1
1757405632.691491,1757405632.6911137,2025-09-09 08:13:52.691491,29.746758678166668,106.55290755983333,238.322,2,1
1757405632.792314,1757405632.7917445,2025-09-09 08:13:52.792314,29.746757420833333,106.55290085366667,238.293,2,1
1757405632.8833299,1757405632.8830905,2025-09-09 08:13:52.883330,29.746756156666667,106.55289415116667,238.26,2,1
1757405632.985465,1757405632.9851198,2025-09-09 08:13:52.985465,29.7467549005,106.55288742,238.23000000000002,2,1
1757405633.0858266,1757405633.0855772,2025-09-09 08:13:53.085827,29.746753650666665,106.552880755,238.20099999999996,2,1
