timestamp,ros_time,datetime,latitude,longitude,altitude,status,service
1757417281.022761,1757417281.022504,2025-09-09 11:28:01.022761,29.743747285166666,106.550002194,241.766,2,1
1757417281.1234057,1757417281.1232035,2025-09-09 11:28:01.123406,29.743750499333334,106.54999804516666,241.758,2,1
1757417281.2240112,1757417281.223761,2025-09-09 11:28:01.224011,29.7437537145,106.54999391683333,241.749,2,1
1757417281.3254802,1757417281.3252757,2025-09-09 11:28:01.325480,29.7437569405,106.54998976833333,241.74800000000002,2,1
1757417281.417907,1757417281.4175704,2025-09-09 11:28:01.417907,29.7437601665,106.54998564166667,241.749,2,1
1757417281.5185173,1757417281.5182173,2025-09-09 11:28:01.518517,29.743763364833335,106.549981617,241.741,2,1
1757417281.619401,1757417281.6191208,2025-09-09 11:28:01.619401,29.743766549,106.54997759866667,241.732,2,1
1757417281.7200623,1757417281.7198968,2025-09-09 11:28:01.720062,29.743769784833333,106.54997349166666,241.722,2,1
1757417281.8210783,1757417281.8207722,2025-09-09 11:28:01.821078,29.743773027333333,106.54996941233334,241.715,2,1
1757417281.9218144,1757417281.9215207,2025-09-09 11:28:01.921814,29.743776227666668,106.549965403,241.72099999999998,2,1
1757417282.022487,1757417282.022271,2025-09-09 11:28:02.022487,29.743779421833334,106.54996140483334,241.72799999999998,2,1
1757417282.1232045,1757417282.122979,2025-09-09 11:28:02.123204,29.743782603166668,106.54995750466666,241.73999999999998,2,1
1757417282.2241702,1757417282.2238772,2025-09-09 11:28:02.224170,29.743785761833333,106.54995363383334,241.754,2,1
1757417282.3155782,1757417282.3152454,2025-09-09 11:28:02.315578,29.743788914,106.54994968533333,241.754,2,1
1757417282.4184685,1757417282.4181266,2025-09-09 11:28:02.418468,29.7437920645,106.54994573083333,241.749,2,1
1757417282.5188816,1757417282.5184994,2025-09-09 11:28:02.518882,29.743795167666665,106.549941841,241.739,2,1
1757417282.6193125,1757417282.6190302,2025-09-09 11:28:02.619313,29.743798258833333,106.54993796733334,241.732,2,1
1757417282.719972,1757417282.7197526,2025-09-09 11:28:02.719972,29.74380137283333,106.5499341165,241.737,2,1
